hex_id,score
88281cb22bfffff,1.0
88281cb235fffff,1.0
88281cb207fffff,1.0
88281cb357fffff,1.0
88281cb355fffff,1.0
88281cb319fffff,1.0
88281cb351fffff,1.0
88281cb30bfffff,1.0
88281c1445fffff,1.0
88281c144bfffff,1.0
88281c1449fffff,1.0
88281c1447fffff,1.0
88281c1443fffff,1.0
88281c1441fffff,1.0
88281ca069fffff,1.0
88281ca06bfffff,1.0
88281ca045fffff,1.0
88281ca061fffff,1.0
88281ca047fffff,1.0
88281ca00dfffff,1.0
88281ca1a9fffff,1.0
88281ca1abfffff,1.0
88281ca1e3fffff,1.0
88281ca187fffff,1.0
88281ca181fffff,1.0
88281ca18dfffff,1.0
88281ca185fffff,1.0
88281c8ed7fffff,1.0
88281c85a5fffff,1.0
88281c8e9bfffff,1.0
88281c8e9dfffff,1.0
88281c8e99fffff,1.0
88281c8e91fffff,1.0
88281c8ed3fffff,1.0
88281cb141fffff,1.0
88281c8493fffff,1.0
88281cb147fffff,1.0
88281cb14dfffff,1.0
88281cb16bfffff,1.0
88281cb145fffff,1.0
88281cb169fffff,1.0
88281c8523fffff,1.0
88281c8527fffff,1.0
88281c8521fffff,1.0
88281c853dfffff,1.0
88281c852bfffff,1.0
88281cba97fffff,1.0
88281ca36dfffff,1.0
88281cba95fffff,1.0
88281cbab1fffff,1.0
88281cbabbfffff,1.0
88281cbab3fffff,1.0
88281cbab9fffff,1.0
88281cb8d9fffff,1.0
88281ca365fffff,1.0
88281cb8ddfffff,1.0
88281cb8d1fffff,1.0
88281cbab7fffff,1.0
88281cb8dbfffff,1.0
88281cb029fffff,1.0
88281cb02bfffff,1.0
88281cb03dfffff,1.0
88281cb005fffff,1.0
88281cb007fffff,1.0
88281cb021fffff,1.0
88281cbb05fffff,1.0
88281cbb6bfffff,1.0
88281cbb47fffff,1.0
88281cbb01fffff,1.0
88281cbb0dfffff,1.0
88281cbb63fffff,1.0
88281cbb09fffff,1.0
88281cb9adfffff,1.0
88281cb9abfffff,1.0
88281cb9a1fffff,1.0
88281cb9a5fffff,1.0
88281cb9a3fffff,1.0
88281cb9a7fffff,1.0
88281ca269fffff,1.0
88281cb191fffff,1.0
88281cb193fffff,1.0
88281ca26dfffff,1.0
88281cb197fffff,1.0
88281caa51fffff,1.0
88281caa5dfffff,1.0
88281caa09fffff,1.0
88281caa57fffff,1.0
88281caa55fffff,1.0
88281caa43fffff,1.0
88281cbb65fffff,1.0
88281c8cddfffff,1.0
88281c8eb7fffff,1.0
88281c8cd1fffff,1.0
88281c8cd9fffff,1.0
88281c8cdbfffff,1.0
88281cb885fffff,1.0
88281cb887fffff,1.0
88281cb8b9fffff,1.0
88281cb883fffff,1.0
88281cb8abfffff,1.0
88281cb8bdfffff,1.0
88281cb881fffff,1.0
88281c16c5fffff,1.0
88281c16ebfffff,1.0
88281c1613fffff,1.0
88281c1617fffff,1.0
88281c16e1fffff,1.0
88281c16e9fffff,1.0
88281c85ebfffff,1.0
88281c858dfffff,1.0
88281c85e3fffff,1.0
88281c85c7fffff,1.0
88281c85e1fffff,1.0
88281ca31bfffff,1.0
88281ca317fffff,1.0
88281ca311fffff,1.0
88281ca313fffff,1.0
88281ca04dfffff,1.0
88281ca367fffff,1.0
88281ca363fffff,1.0
88281ca361fffff,1.0
88281ca329fffff,1.0
88281ca32dfffff,1.0
88281cba6dfffff,1.0
88281c8591fffff,1.0
88281c8597fffff,1.0
88281c8593fffff,1.0
88281cba69fffff,1.0
88281c84d3fffff,1.0
88281c84d1fffff,1.0
88281c84d7fffff,1.0
88281c84d5fffff,1.0
88281c84ddfffff,1.0
88281c84dbfffff,1.0
88281c84d9fffff,1.0
88281cb9d9fffff,1.0
